           source;               target
Pupuk dan obat pertanian;AGRINDO PERSADATAMA, CV
Hebisida pertanian;FADJAR PURNAMA PRATAMA INTI, PT
Kelapa sawit ;PKS PT. NAGAN RAYA MAKMUR
Kopi tubruk gajah ;PT GONUSA PRIMA INDUSTRI
Paseo;PT PINDO DELI
Baterai ;PT INTERNASIONAL CHEMICAL INDUSTRY
Dua kelinci ;PT DUA KELINCI 
Silverqueen ;PT PETRAFOODSE
Es Steler;PT TOP FOOD INDONESIA
Extrajoz ;PT BINTANG TOEDJOE 
Kapal api;PT SANTOS JAYA ABADI 
Roma ;PT MAYORA INDONESIA 
Sasa;PT SASA
My baby;PT RUDI SOETADI 
Yupy;PT YUPY INDO JELLY GUM
Mama lemon;PT LION WINGS
S.os;PT FILMA UTAMA SOAP
Khong guan;PT NISIN BISKUIT INDONESIA
Equil;PT EQUILINDO LESTARI 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
21;
21;
21;
21;
21;
22;
22;
23;
23;
23;
23;
23;
24;
24;
25;
25;
25;
25;
26;
26;
27;
27;
28;
28;
28;
29;
30;
30;
31;
31;
32;
33;
33;
33;
33;
34;
34;18
34;30
35;1
35;2
35;5
35;33
